,support,itemsets
40,0.030382085982933855,frozenset({'82486'})
906,0.03021903364313278,frozenset({'22698'})
11,0.030164682863199087,frozenset({'21755'})
488,0.030110332083265395,frozenset({'22966'})
1462,0.029675525843795857,"frozenset({'22386', '85099B'})"
539,0.02945812272406109,frozenset({'21928'})
2903,0.0294037719441274,"frozenset({'22697', '22699'})"
433,0.029077667264525247,frozenset({'20972'})
434,0.028968965704657863,frozenset({'22907'})
135,0.028968965704657863,frozenset({'21485'})
12,0.02886026414479048,frozenset({'48187'})
743,0.02886026414479048,frozenset({'20719'})
1319,0.028805913364856786,"frozenset({'22726', '22727'})"
103,0.028751562584923094,frozenset({'84755'})
58,0.028751562584923094,frozenset({'21975'})
2147,0.02842545790532094,"frozenset({'22384', '20725'})"
27,0.02837110712538725,frozenset({'21731'})
489,0.028316756345453557,frozenset({'22556'})
216,0.028316756345453557,frozenset({'84378'})
115,0.028208054785586172,frozenset({'79321'})
2392,0.028208054785586172,"frozenset({'22383', '20725'})"
119,0.02815370400565248,frozenset({'22969'})
2380,0.028099353225718788,"frozenset({'20727', '20725'})"
234,0.028099353225718788,frozenset({'21914'})
531,0.028045002445785096,frozenset({'48138'})
49,0.02793630088591771,frozenset({'22114'})
337,0.02777324854611664,frozenset({'22113'})
1118,0.02777324854611664,frozenset({'23322'})
779,0.027664546986249254,frozenset({'22621'})
41,0.027664546986249254,frozenset({'82483'})
168,0.027447143866514485,frozenset({'22835'})
28,0.027392793086580793,frozenset({'22659'})
1093,0.027392793086580793,frozenset({'23307'})
217,0.027229740746779717,frozenset({'84992'})
218,0.027121039186912332,frozenset({'21213'})
219,0.02706668840697864,frozenset({'84380'})
456,0.026740583727376487,frozenset({'20712'})
59,0.026740583727376487,frozenset({'20723'})
303,0.02657753138757541,frozenset({'22909'})
736,0.026468829827708026,frozenset({'22356'})
1098,0.026360128267840642,frozenset({'23240'})
29,0.026360128267840642,frozenset({'21791'})
235,0.026088374368172185,frozenset({'48194'})
304,0.026088374368172185,frozenset({'22557'})
687,0.025925322028371108,frozenset({'22385'})
353,0.025870971248437416,frozenset({'84836'})
159,0.02576226968857003,frozenset({'22867'})
625,0.025653568128702647,frozenset({'84077'})
409,0.025599217348768955,frozenset({'21930'})
155,0.025599217348768955,frozenset({'22866'})
1038,0.025544866568835263,frozenset({'23200'})
4127,0.02543616500896788,"frozenset({'23203', '85099B'})"
1404,0.02543616500896788,"frozenset({'82482', '82494L'})"
160,0.02543616500896788,frozenset({'22730'})
305,0.025381814229034187,frozenset({'22952'})
2112,0.025381814229034187,"frozenset({'22382', '20725'})"
1155,0.025273112669166802,frozenset({'23293'})
2391,0.025273112669166802,"frozenset({'20727', '22383'})"
2151,0.02521876188923311,"frozenset({'20727', '22384'})"
368,0.025164411109299418,frozenset({'22577'})
4343,0.025164411109299418,"frozenset({'23301', '23300'})"
306,0.025055709549432034,frozenset({'22149'})
3475,0.02500135876949834,"frozenset({'22697', '22698'})"
2412,0.02494700798956465,"frozenset({'20725', '20728'})"
277,0.024892657209630957,frozenset({'22328'})
1431,0.024838306429697265,"frozenset({'21733', '85123A'})"
587,0.024838306429697265,frozenset({'20971'})
179,0.02467525408989619,frozenset({'22766'})
2408,0.024566552530028807,"frozenset({'22383', '20728'})"
104,0.024566552530028807,frozenset({'22189'})
2008,0.024512201750095115,"frozenset({'22086', '22910'})"
1186,0.02440350019022773,frozenset({'23356'})
145,0.02440350019022773,frozenset({'21889'})
435,0.02440350019022773,frozenset({'22776'})
490,0.02440350019022773,frozenset({'22555'})
452,0.02434914941029404,frozenset({'22625'})
307,0.02434914941029404,frozenset({'22367'})
2114,0.024294798630360347,"frozenset({'22383', '22382'})"
767,0.024186097070492962,frozenset({'85066'})
73,0.02413174629055927,frozenset({'22083'})
4053,0.024077395510625578,"frozenset({'23203', '23209'})"
491,0.023968693950758194,frozenset({'22667'})
7,0.023968693950758194,frozenset({'22633'})
105,0.023968693950758194,frozenset({'22427'})
236,0.02385999239089081,frozenset({'22553'})
966,0.023751290831023425,frozenset({'22998'})
3477,0.023696940051089733,"frozenset({'22699', '22698'})"
308,0.023696940051089733,frozenset({'22147'})
1506,0.02358823849122235,"frozenset({'85099B', '21931'})"
583,0.023533887711288656,frozenset({'22578'})
2221,0.023533887711288656,"frozenset({'20726', '20725'})"
4137,0.023262133811620195,"frozenset({'23203', '23202'})"
2154,0.023207783031686503,"frozenset({'22384', '20728'})"
60,0.02315343225175281,frozenset({'21559'})
1016,0.02309908147181912,frozenset({'23204'})
1448,0.02309908147181912,"frozenset({'20725', '85099B'})"
436,0.02304473069188543,frozenset({'84997D'})
2640,0.02304473069188543,"frozenset({'22629', '22630'})"
612,0.02304473069188543,frozenset({'22617'})
2409,0.022881678352084354,"frozenset({'20727', '20728'})"
513,0.022881678352084354,frozenset({'21843'})
278,0.022881678352084354,frozenset({'22144'})
2897,0.02282732757215066,"frozenset({'22699', '22423'})"
4056,0.02277297679221697,"frozenset({'20725', '23209'})"
492,0.02277297679221697,frozenset({'82600'})
2115,0.022718626012283277,"frozenset({'20727', '22382'})"
260,0.022664275232349585,frozenset({'22568'})
123,0.022609924452415893,frozenset({'22193'})
237,0.022609924452415893,frozenset({'84375'})
2568,0.02250122289254851,"frozenset({'85099F', '85099B'})"
136,0.022392521332681124,frozenset({'84970S'})
261,0.022338170552747432,frozenset({'20713'})
180,0.022229468992880048,frozenset({'22804'})
91,0.022120767433012663,frozenset({'22379'})
1814,0.022120767433012663,"frozenset({'22470', '22469'})"
220,0.022120767433012663,frozenset({'22417'})
523,0.02201206587314528,frozenset({'21524'})
2222,0.02201206587314528,"frozenset({'20726', '22382'})"
146,0.021849013533344203,frozenset({'22150'})
13,0.02179466275341051,frozenset({'22749'})
2152,0.021740311973476818,"frozenset({'22384', '22383'})"
694,0.021577259633675742,frozenset({'47591D'})
74,0.021577259633675742,frozenset({'21523'})
1341,0.02152290885374205,"frozenset({'22728', '22727'})"
1741,0.02152290885374205,"frozenset({'22411', '85099B'})"
493,0.021468558073808357,frozenset({'22561'})
156,0.02141420729387467,frozenset({'22652'})
622,0.02141420729387467,frozenset({'22029'})
2413,0.021251154954073592,"frozenset({'22382', '20728'})"
395,0.021251154954073592,frozenset({'21621'})
124,0.021251154954073592,frozenset({'22191'})
3482,0.0211968041741399,"frozenset({'22697', '22699', '22698'})"
3556,0.021142453394206208,"frozenset({'20725', '23206'})"
1090,0.021142453394206208,frozenset({'23263'})
4037,0.021142453394206208,"frozenset({'23298', '47566'})"
1122,0.02092505027447144,frozenset({'23343'})
1100,0.02092505027447144,frozenset({'23243'})
822,0.02092505027447144,frozenset({'21936'})
756,0.02092505027447144,frozenset({'82583'})
741,0.020870699494537747,frozenset({'20718'})
181,0.020816348714604055,frozenset({'82580'})
309,0.020761997934670363,frozenset({'22616'})
566,0.02070764715473667,frozenset({'21231'})
3570,0.02065329637480298,"frozenset({'23209', '23206'})"
744,0.020598945594869286,frozenset({'71459'})
469,0.020598945594869286,frozenset({'22487'})
345,0.020598945594869286,frozenset({'21481'})
169,0.020544594814935594,frozenset({'21479'})
75,0.020544594814935594,frozenset({'15056N'})
310,0.020544594814935594,frozenset({'22750'})
737,0.020327191695200825,frozenset({'22084'})
757,0.020327191695200825,frozenset({'21908'})
653,0.020327191695200825,frozenset({'82582'})
2904,0.020327191695200825,"frozenset({'22697', '22423'})"
1144,0.020327191695200825,frozenset({'23198'})
758,0.02016413935539975,frozenset({'21174'})
615,0.02016413935539975,frozenset({'21172'})
1190,0.02016413935539975,frozenset({'23439'})
30,0.020001087015598672,frozenset({'22900'})
182,0.01994673623566498,frozenset({'85150'})
2148,0.01994673623566498,"frozenset({'22384', '22382'})"
1152,0.0198380346757976,frozenset({'23319'})
238,0.0198380346757976,frozenset({'21210'})
279,0.0198380346757976,frozenset({'20750'})
183,0.0198380346757976,frozenset({'20749'})
494,0.019783683895863907,frozenset({'84692'})
239,0.019783683895863907,frozenset({'22620'})
2228,0.019674982335996523,"frozenset({'20726', '20728'})"
2226,0.019674982335996523,"frozenset({'20726', '22383'})"
1582,0.019674982335996523,"frozenset({'85099C', '85099B'})"
881,0.01962063155606283,frozenset({'84596B'})
311,0.01962063155606283,frozenset({'22595'})
3558,0.01956628077612914,"frozenset({'22383', '23206'})"
161,0.019511929996195446,frozenset({'22729'})
1154,0.019511929996195446,frozenset({'23313'})
665,0.019511929996195446,frozenset({'47590B'})
8,0.019511929996195446,frozenset({'22632'})
1156,0.019511929996195446,frozenset({'23295'})
812,0.019511929996195446,frozenset({'21165'})
1831,0.01934887765639437,"frozenset({'22662', '22382'})"
532,0.01934887765639437,frozenset({'48184'})
666,0.019294526876460678,frozenset({'47590A'})
312,0.019240176096526986,frozenset({'22951'})
1045,0.019240176096526986,frozenset({'23173'})
732,0.019240176096526986,frozenset({'21155'})
369,0.019240176096526986,frozenset({'21985'})
597,0.0191314745366596,frozenset({'21136'})
1056,0.01907712375672591,frozenset({'23108'})
636,0.01907712375672591,frozenset({'21669'})
3681,0.01907712375672591,"frozenset({'23199', '85099B'})"
184,0.01907712375672591,frozenset({'22413'})
1221,0.018968422196858525,frozenset({'23493'})
280,0.018914071416924833,frozenset({'22141'})
618,0.018914071416924833,frozenset({'22507'})
2227,0.01885972063699114,"frozenset({'20727', '20726'})"
14,0.018805369857057448,frozenset({'22748'})
4138,0.018751019077123756,"frozenset({'23202', '85099B'})"
1017,0.018751019077123756,frozenset({'23205'})
1342,0.01864231751725637,"frozenset({'22728', '22726'})"
31,0.01864231751725637,frozenset({'22661'})
76,0.01858796673732268,frozenset({'21169'})
162,0.01858796673732268,frozenset({'21314'})
560,0.01858796673732268,frozenset({'22847'})
1002,0.018533615957388987,frozenset({'21770'})
147,0.018479265177455295,frozenset({'21891'})
1113,0.018424914397521603,frozenset({'35970'})
148,0.018424914397521603,frozenset({'22619'})
125,0.01837056361758791,frozenset({'22192'})
916,0.01837056361758791,frozenset({'22692'})
453,0.01831621283765422,frozenset({'22173'})
240,0.01826186205772053,frozenset({'84970L'})
361,0.01826186205772053,frozenset({'21121'})
660,0.01826186205772053,frozenset({'22560'})
1551,0.018207511277786838,"frozenset({'21212', '21977'})"
482,0.018207511277786838,frozenset({'21498'})
185,0.018207511277786838,frozenset({'85049E'})
370,0.018153160497853146,frozenset({'22082'})
4049,0.018153160497853146,"frozenset({'20727', '23209'})"
572,0.018098809717919453,frozenset({'21668'})
401,0.01804445893798576,frozenset({'22983'})
4050,0.01799010815805207,"frozenset({'22383', '23209'})"
1621,0.01799010815805207,"frozenset({'21929', '85099B'})"
1561,0.017935757378118377,"frozenset({'21212', '84991'})"
1153,0.017881406598184685,frozenset({'23318'})
186,0.017881406598184685,frozenset({'21907'})
915,0.017881406598184685,frozenset({'22734'})
1046,0.017827055818250993,frozenset({'23170'})
281,0.0177727050383173,frozenset({'22988'})
1214,0.0177727050383173,frozenset({'23503'})
106,0.01771835425838361,frozenset({'22424'})
61,0.01771835425838361,frozenset({'84997B'})
62,0.017664003478449916,frozenset({'21094'})
32,0.017664003478449916,frozenset({'22492'})
740,0.017609652698516224,frozenset({'15036'})
1009,0.017609652698516224,frozenset({'23256'})
63,0.017609652698516224,frozenset({'22352'})
282,0.017609652698516224,frozenset({'22570'})
3330,0.01750095113864884,"frozenset({'22356', '20724'})"
592,0.01750095113864884,frozenset({'22725'})
3691,0.01750095113864884,"frozenset({'23203', '23199'})"
1,0.017446600358715147,frozenset({'84029E'})
77,0.017446600358715147,frozenset({'22771'})
354,0.017446600358715147,frozenset({'22142'})
3563,0.017392249578781455,"frozenset({'20727', '23206'})"
3058,0.017392249578781455,"frozenset({'21928', '85099B'})"
3917,0.017337898798847763,"frozenset({'23208', '23209'})"
2,0.017337898798847763,frozenset({'84029G'})
346,0.017337898798847763,frozenset({'22585'})
3125,0.017337898798847763,"frozenset({'22578', '22577'})"
667,0.017337898798847763,frozenset({'21430'})
1157,0.017337898798847763,frozenset({'23296'})
797,0.017337898798847763,frozenset({'21932'})
283,0.017337898798847763,frozenset({'22759'})
495,0.01728354801891407,frozenset({'22489'})
2223,0.01728354801891407,"frozenset({'22384', '20726'})"
112,0.01722919723898038,frozenset({'22663'})
15,0.017174846459046687,frozenset({'22745'})
1065,0.017174846459046687,frozenset({'23103'})
447,0.017120495679112994,frozenset({'22429'})
2067,0.017066144899179302,"frozenset({'22730', '22727'})"
888,0.01701179411924561,frozenset({'22908'})
390,0.01701179411924561,frozenset({'21137'})
668,0.01701179411924561,frozenset({'47566B'})
2910,0.016957443339311918,"frozenset({'22697', '22423', '22699'})"
4077,0.016957443339311918,"frozenset({'23199', '23200'})"
1059,0.016957443339311918,frozenset({'23192'})
962,0.016903092559378226,frozenset({'22989'})
3151,0.016903092559378226,"frozenset({'22617', '22138'})"
241,0.016903092559378226,frozenset({'22219'})
1151,0.016848741779444534,frozenset({'23320'})
912,0.016848741779444534,frozenset({'21535'})
2160,0.016848741779444534,"frozenset({'22384', '23209'})"
78,0.016848741779444534,frozenset({'21533'})
3560,0.016848741779444534,"frozenset({'22382', '23206'})"
2125,0.01679439099951084,"frozenset({'22382', '23209'})"
242,0.01679439099951084,frozenset({'22488'})
3476,0.01679439099951084,"frozenset({'22423', '22698'})"
1832,0.01679439099951084,"frozenset({'22662', '20725'})"
64,0.01674004021957715,frozenset({'84997C'})
1393,0.01674004021957715,"frozenset({'82482', '85123A'})"
999,0.01674004021957715,frozenset({'23077'})
2181,0.01674004021957715,"frozenset({'22384', '20727', '20725'})"
1722,0.01674004021957715,"frozenset({'22960', '22961'})"
3750,0.01674004021957715,"frozenset({'23207', '23206'})"
827,0.01668568943964346,frozenset({'84988'})
79,0.01668568943964346,frozenset({'21672'})
629,0.01668568943964346,frozenset({'20975'})
457,0.01663133865970977,frozenset({'84945'})
1095,0.016576987879776076,frozenset({'23308'})
243,0.016576987879776076,frozenset({'84347'})
3900,0.016522637099842384,"frozenset({'23208', '23206'})"
470,0.016522637099842384,frozenset({'22627'})
187,0.016522637099842384,frozenset({'21122'})
981,0.016522637099842384,frozenset({'22979'})
533,0.016522637099842384,frozenset({'22171'})
313,0.016468286319908692,frozenset({'22694'})
126,0.016468286319908692,frozenset({'85014B'})
808,0.016468286319908692,frozenset({'22456'})
460,0.016468286319908692,frozenset({'22607'})
284,0.016413935539975,frozenset({'22940'})
188,0.016413935539975,frozenset({'82581'})
1246,0.016413935539975,frozenset({'23581'})
2346,0.016413935539975,"frozenset({'85123A', '22804'})"
1836,0.016305233980107615,"frozenset({'22383', '22662'})"
3493,0.01619653242024023,"frozenset({'22720', '22722'})"
1245,0.01619653242024023,frozenset({'23583'})
3019,0.01619653242024023,"frozenset({'22355', '20724'})"
654,0.01619653242024023,frozenset({'20676'})
2232,0.01619653242024023,"frozenset({'20726', '23206'})"
3,0.01614218164030654,frozenset({'22752'})
3649,0.016087830860372847,"frozenset({'23201', '85099B'})"
1682,0.016087830860372847,"frozenset({'20723', '20724'})"
669,0.016087830860372847,frozenset({'22499'})
3676,0.016087830860372847,"frozenset({'23199', '23206'})"
221,0.016087830860372847,frozenset({'22964'})
338,0.016033480080439155,frozenset({'21892'})
3659,0.015979129300505462,"frozenset({'23203', '23201'})"
285,0.015979129300505462,frozenset({'22569'})
1091,0.015979129300505462,frozenset({'23309'})
286,0.01592477852057177,frozenset({'22273'})
606,0.01592477852057177,frozenset({'21877'})
2570,0.01592477852057177,"frozenset({'85099F', '22386'})"
2691,0.015870427740638078,"frozenset({'22554', '22551'})"
367,0.015870427740638078,frozenset({'82552'})
1768,0.015870427740638078,"frozenset({'21166', '21175'})"
807,0.015870427740638078,frozenset({'22844'})
355,0.015870427740638078,frozenset({'21156'})
974,0.015870427740638078,frozenset({'22996'})
448,0.015816076960704386,frozenset({'20974'})
1816,0.015816076960704386,"frozenset({'85123A', '22470'})"
1158,0.015816076960704386,frozenset({'23294'})
80,0.015816076960704386,frozenset({'15056BL'})
3557,0.015761726180770694,"frozenset({'20728', '23206'})"
3564,0.015761726180770694,"frozenset({'22384', '23206'})"
545,0.015707375400837,frozenset({'21670'})
410,0.015707375400837,frozenset({'22151'})
3375,0.015707375400837,"frozenset({'20719', '20724'})"
92,0.015707375400837,frozenset({'22381'})
869,0.01565302462090331,frozenset({'84596F'})
2098,0.01565302462090331,"frozenset({'22835', '22112'})"
314,0.01565302462090331,frozenset({'22834'})
546,0.015598673840969617,frozenset({'22795'})
723,0.015544323061035925,frozenset({'22169'})
189,0.015544323061035925,frozenset({'22851'})
972,0.015489972281102235,frozenset({'22992'})
137,0.015489972281102235,frozenset({'21086'})
1102,0.015435621501168542,frozenset({'23236'})
1105,0.015435621501168542,frozenset({'23241'})
3693,0.015435621501168542,"frozenset({'23199', '23202'})"
798,0.01538127072123485,frozenset({'21933'})
163,0.015326919941301158,frozenset({'21484'})
1129,0.015326919941301158,frozenset({'23188'})
623,0.015326919941301158,frozenset({'21918'})
3066,0.015326919941301158,"frozenset({'21929', '21928'})"
4419,0.015272569161367466,"frozenset({'23322', '23321'})"
1504,0.015272569161367466,"frozenset({'22386', '21931'})"
1185,0.015272569161367466,frozenset({'23328'})
2053,0.015272569161367466,"frozenset({'22865', '22866'})"
1160,0.015272569161367466,frozenset({'23311'})
2399,0.015218218381433774,"frozenset({'20727', '22383', '20725'})"
2183,0.015218218381433774,"frozenset({'22384', '22383', '20725'})"
600,0.015218218381433774,frozenset({'21888'})
1562,0.015218218381433774,"frozenset({'21977', '84991'})"
2189,0.015163867601500082,"frozenset({'22384', '20725', '20728'})"
81,0.015163867601500082,frozenset({'22646'})
3445,0.015163867601500082,"frozenset({'85123A', '47566'})"
637,0.015163867601500082,frozenset({'21671'})
407,0.01510951682156639,frozenset({'84947'})
3677,0.015055166041632697,"frozenset({'23199', '23201'})"
107,0.015055166041632697,frozenset({'22464'})
2155,0.015055166041632697,"frozenset({'22384', '85099B'})"
601,0.015055166041632697,frozenset({'21238'})
262,0.015055166041632697,frozenset({'21326'})
626,0.015055166041632697,frozenset({'22898'})
138,0.015055166041632697,frozenset({'84030E'})
3296,0.015000815261699005,"frozenset({'85099B', '20724'})"
940,0.015000815261699005,frozenset({'22970'})
638,0.015000815261699005,frozenset({'21673'})
573,0.015000815261699005,frozenset({'22579'})
1010,0.015000815261699005,frozenset({'23254'})
2422,0.015000815261699005,"frozenset({'22383', '20725', '20728'})"
315,0.015000815261699005,frozenset({'21976'})
449,0.015000815261699005,frozenset({'20973'})
1284,0.014946464481765313,"frozenset({'21755', '21754'})"
2068,0.014946464481765313,"frozenset({'22730', '22726'})"
639,0.014946464481765313,frozenset({'22431'})
1418,0.01489211370183162,"frozenset({'82486', '82483'})"
1114,0.01489211370183162,frozenset({'23266'})
2420,0.014837762921897929,"frozenset({'23209', '20728'})"
2381,0.014783412141964236,"frozenset({'20727', '85099B'})"
1047,0.014783412141964236,frozenset({'23175'})
2546,0.014783412141964236,"frozenset({'21915', '21914'})"
2129,0.014729061362030544,"frozenset({'22383', '22382', '20725'})"
1107,0.014729061362030544,frozenset({'23247'})
1806,0.014729061362030544,"frozenset({'85123A', '22469'})"
1178,0.014729061362030544,frozenset({'23351'})
1274,0.014729061362030544,"frozenset({'84879', '85123A'})"
987,0.014729061362030544,frozenset({'23126'})
2393,0.014729061362030544,"frozenset({'22383', '85099B'})"
4078,0.014729061362030544,"frozenset({'23203', '23200'})"
3479,0.014729061362030544,"frozenset({'22697', '22423', '22698'})"
1048,0.014674710582096854,frozenset({'23171'})
222,0.014674710582096854,frozenset({'22296'})
42,0.014674710582096854,frozenset({'21871'})
43,0.014674710582096854,frozenset({'20679'})
1089,0.014674710582096854,frozenset({'23275'})
1147,0.014674710582096854,frozenset({'23323'})
3767,0.014620359802163162,"frozenset({'23207', '23209'})"
93,0.01456600902222947,frozenset({'21912'})
1049,0.01456600902222947,frozenset({'23174'})
1660,0.014511658242295777,"frozenset({'21212', '21975'})"
371,0.014511658242295777,frozenset({'22333'})
1344,0.014511658242295777,"frozenset({'22726', '22728', '22727'})"
2063,0.014511658242295777,"frozenset({'22867', '22865'})"
1180,0.014511658242295777,frozenset({'23332'})
3215,0.014511658242295777,"frozenset({'22385', '85099B'})"
113,0.014457307462362085,frozenset({'85049A'})
759,0.014402956682428393,frozenset({'21900'})
3480,0.014402956682428393,"frozenset({'22699', '22423', '22698'})"
1770,0.014402956682428393,"frozenset({'21166', '21181'})"
1794,0.014402956682428393,"frozenset({'22457', '85123A'})"
2974,0.014402956682428393,"frozenset({'22720', '22666'})"
1471,0.014402956682428393,"frozenset({'23203', '22386'})"
817,0.014402956682428393,frozenset({'21558'})
2920,0.014402956682428393,"frozenset({'22625', '22624'})"
1837,0.014348605902494701,"frozenset({'20727', '22662'})"
2043,0.014348605902494701,"frozenset({'21175', '85152'})"
598,0.014294255122561009,frozenset({'71477'})
3901,0.014294255122561009,"frozenset({'23208', '20725'})"
1060,0.014294255122561009,frozenset({'23082'})
1071,0.014239904342627317,frozenset({'23169'})
2041,0.014239904342627317,"frozenset({'21166', '85152'})"
640,0.014239904342627317,frozenset({'22027'})
711,0.014239904342627317,frozenset({'22505'})
351,0.014239904342627317,frozenset({'21154'})
1508,0.014239904342627317,"frozenset({'22383', '21931'})"
2925,0.014239904342627317,"frozenset({'20712', '85099B'})"
3661,0.014239904342627317,"frozenset({'23202', '23201'})"
82,0.014239904342627317,frozenset({'22637'})
2651,0.014239904342627317,"frozenset({'22328', '22326'})"
2424,0.014239904342627317,"frozenset({'20727', '20725', '20728'})"
785,0.014185553562693624,frozenset({'22158'})
873,0.014185553562693624,frozenset({'22690'})
1170,0.014185553562693624,frozenset({'23354'})
1437,0.014131202782759932,"frozenset({'22114', '22112'})"
108,0.014131202782759932,frozenset({'21340'})
524,0.014131202782759932,frozenset({'22791'})
2190,0.014131202782759932,"frozenset({'20727', '22384', '20728'})"
2233,0.014131202782759932,"frozenset({'20726', '23209'})"
1765,0.014131202782759932,"frozenset({'21175', '21181'})"
496,0.01407685200282624,frozenset({'21982'})
316,0.01407685200282624,frozenset({'22899'})
406,0.01407685200282624,frozenset({'22784'})
3755,0.014022501222892548,"frozenset({'22383', '23207'})"
4130,0.014022501222892548,"frozenset({'23203', '20725'})"
2235,0.014022501222892548,"frozenset({'20726', '22382', '20725'})"
3751,0.014022501222892548,"frozenset({'23207', '20725'})"
624,0.013968150442958856,frozenset({'22037'})
2130,0.013968150442958856,"frozenset({'20727', '22382', '20725'})"
688,0.013968150442958856,frozenset({'20969'})
955,0.013968150442958856,frozenset({'23231'})
411,0.013968150442958856,frozenset({'22501'})
396,0.013968150442958856,frozenset({'22087'})
650,0.013968150442958856,frozenset({'21217'})
287,0.013913799663025164,frozenset({'22271'})
2417,0.013913799663025164,"frozenset({'85099B', '20728'})"
127,0.013913799663025164,frozenset({'85014A'})
33,0.013913799663025164,frozenset({'22631'})
1405,0.013913799663025164,"frozenset({'85123A', '82494L'})"
2986,0.013913799663025164,"frozenset({'22554', '22556'})"
3149,0.013859448883091473,"frozenset({'84879', '21136'})"
4057,0.013859448883091473,"frozenset({'85099B', '23209'})"
1622,0.013859448883091473,"frozenset({'22411', '21929'})"
2262,0.013859448883091473,"frozenset({'20726', '22383', '20725'})"
1296,0.013805098103157781,"frozenset({'22748', '22745'})"
3210,0.013805098103157781,"frozenset({'47590B', '47590A'})"
980,0.013805098103157781,frozenset({'23182'})
828,0.013805098103157781,frozenset({'22348'})
760,0.013750747323224089,frozenset({'82551'})
1171,0.013750747323224089,frozenset({'23353'})
1617,0.013750747323224089,"frozenset({'22386', '21929'})"
547,0.013750747323224089,frozenset({'22212'})
1509,0.013750747323224089,"frozenset({'22411', '21931'})"
