,basket,product_to_recommend,probability,price,description
8401,"frozenset({'22920', '22916', '22919', '22921'})","frozenset({'22917', '22918'})",0.9705882352941178,1.3,"HERB MARKER ROSEMARY, HERB MARKER PARSLEY"
8398,"frozenset({'22920', '22917', '22919', '22921'})","frozenset({'22916', '22918'})",0.9705882352941178,1.3,"HERB MARKER THYME, HERB MARKER PARSLEY"
15983,"frozenset({'22699', '22697', '23172', '23171'})",frozenset({'23170'}),0.9705882352941175,1.65,REGENCY TEA PLATE ROSES 
15356,"frozenset({'22697', '22698', '23171', '23170'})",frozenset({'22699'}),0.9700000000000001,2.95,ROSES REGENCY TEACUP AND SAUCER 
16372,"frozenset({'23290', '23291'})",frozenset({'23289'}),0.9696969696969698,1.25,DOLLY GIRL CHILDRENS BOWL
10476,"frozenset({'22747', '22745', '22746'})",frozenset({'22748'}),0.96875,2.1,POPPY'S PLAYHOUSE KITCHEN
7957,"frozenset({'22919', '22916', '22918'})",frozenset({'22917'}),0.9685534591194968,0.65,HERB MARKER ROSEMARY
16044,"frozenset({'22697', '23172', '22698', '23170'})",frozenset({'22699'}),0.9684210526315788,2.95,ROSES REGENCY TEACUP AND SAUCER 
7970,"frozenset({'22920', '22919', '22916'})",frozenset({'22917'}),0.9679487179487181,0.65,HERB MARKER ROSEMARY
8036,"frozenset({'22916', '22921'})",frozenset({'22918'}),0.9675324675324677,0.65,HERB MARKER PARSLEY
8042,"frozenset({'22917', '22921'})",frozenset({'22918'}),0.9675324675324677,0.65,HERB MARKER PARSLEY
8068,"frozenset({'22919', '22921'})",frozenset({'22918'}),0.9675324675324677,0.65,HERB MARKER PARSLEY
15740,"frozenset({'22699', '23172', '23171'})",frozenset({'23170'}),0.9669421487603307,1.65,REGENCY TEA PLATE ROSES 
8087,"frozenset({'22918', '22917', '22921'})",frozenset({'22919'}),0.9664429530201342,0.65,HERB MARKER MINT
8089,"frozenset({'22918', '22919', '22921'})",frozenset({'22917'}),0.9664429530201342,0.65,HERB MARKER ROSEMARY
7996,"frozenset({'22920', '22917', '22919', '22918'})",frozenset({'22916'}),0.9664429530201342,0.65,HERB MARKER THYME
8116,"frozenset({'22917', '22919', '22921'})",frozenset({'22916'}),0.9659863945578232,0.65,HERB MARKER THYME
8171,"frozenset({'22920', '22921'})",frozenset({'22917'}),0.9659863945578232,0.65,HERB MARKER ROSEMARY
8132,"frozenset({'22917', '22921', '22916', '22918'})",frozenset({'22919'}),0.9655172413793104,0.65,HERB MARKER MINT
8235,"frozenset({'22920', '22917', '22921'})","frozenset({'22916', '22918'})",0.9647887323943661,1.3,"HERB MARKER THYME, HERB MARKER PARSLEY"
7938,"frozenset({'22919', '22916'})",frozenset({'22917'}),0.9642857142857142,0.65,HERB MARKER ROSEMARY
8300,"frozenset({'22920', '22917', '22921', '22918'})",frozenset({'22919'}),0.9640287769784173,0.65,HERB MARKER MINT
8391,"frozenset({'22918', '22917', '22921', '22920', '22916'})",frozenset({'22919'}),0.9635036496350365,0.65,HERB MARKER MINT
8395,"frozenset({'22920', '22921', '22919', '22918'})","frozenset({'22917', '22916'})",0.9635036496350365,1.3,"HERB MARKER ROSEMARY, HERB MARKER THYME"
15164,"frozenset({'22697', '22698', '23170'})",frozenset({'22699'}),0.9622641509433961,2.95,ROSES REGENCY TEACUP AND SAUCER 
15940,"frozenset({'22697', '22699', '23172'})",frozenset({'23171'}),0.9622641509433961,1.65,REGENCY TEA PLATE GREEN 
7924,"frozenset({'22920', '22916', '22918'})",frozenset({'22917'}),0.9620253164556963,0.65,HERB MARKER ROSEMARY
8044,"frozenset({'22918', '22921'})",frozenset({'22917'}),0.9612903225806453,0.65,HERB MARKER ROSEMARY
8069,"frozenset({'22918', '22921'})",frozenset({'22919'}),0.9612903225806453,0.65,HERB MARKER MINT
8037,"frozenset({'22918', '22921'})",frozenset({'22916'}),0.9612903225806453,0.65,HERB MARKER THYME
8050,"frozenset({'22916', '22921'})",frozenset({'22917'}),0.9610389610389611,0.65,HERB MARKER ROSEMARY
8049,"frozenset({'22917', '22921'})",frozenset({'22916'}),0.9610389610389611,0.65,HERB MARKER THYME
15465,"frozenset({'23175', '23171', '23170'})",frozenset({'23174'}),0.9607843137254902,4.15,REGENCY SUGAR BOWL GREEN
8102,"frozenset({'22918', '22919', '22921'})",frozenset({'22916'}),0.959731543624161,0.65,HERB MARKER THYME
8101,"frozenset({'22918', '22916', '22921'})",frozenset({'22919'}),0.959731543624161,0.65,HERB MARKER MINT
8115,"frozenset({'22917', '22916', '22921'})",frozenset({'22919'}),0.9594594594594594,0.65,HERB MARKER MINT
15814,"frozenset({'22699', '23172', '22698', '23171'})",frozenset({'23170'}),0.9591836734693877,1.65,REGENCY TEA PLATE ROSES 
7906,"frozenset({'22916', '22918'})",frozenset({'22917'}),0.9590643274853802,0.65,HERB MARKER ROSEMARY
8138,"frozenset({'22916', '22919', '22921'})","frozenset({'22917', '22918'})",0.9589041095890412,1.3,"HERB MARKER ROSEMARY, HERB MARKER PARSLEY"
16015,"frozenset({'22699', '22697', '23172', '22698'})",frozenset({'23171'}),0.9587628865979381,1.65,REGENCY TEA PLATE GREEN 
16386,"frozenset({'23289', '23292'})",frozenset({'23290'}),0.9587628865979381,1.25,SPACEBOY CHILDRENS BOWL
15671,"frozenset({'23172', '23170', '23173'})",frozenset({'23171'}),0.9587628865979381,1.65,REGENCY TEA PLATE GREEN 
16380,"frozenset({'23289', '23292'})",frozenset({'23291'}),0.9587628865979381,1.25,DOLLY GIRL CHILDRENS CUP
7911,"frozenset({'22920', '22916'})",frozenset({'22917'}),0.9585798816568049,0.65,HERB MARKER ROSEMARY
15715,"frozenset({'23175', '23172', '23171'})",frozenset({'23174'}),0.9583333333333333,4.15,REGENCY SUGAR BOWL GREEN
15683,"frozenset({'23172', '23174', '23173'})",frozenset({'23171'}),0.9583333333333333,1.65,REGENCY TEA PLATE GREEN 
8255,"frozenset({'22920', '22918', '22921'})",frozenset({'22919'}),0.958041958041958,0.65,HERB MARKER MINT
8238,"frozenset({'22920', '22916', '22921'})","frozenset({'22917', '22918'})",0.958041958041958,1.3,"HERB MARKER ROSEMARY, HERB MARKER PARSLEY"
8232,"frozenset({'22920', '22921', '22918'})","frozenset({'22917', '22916'})",0.958041958041958,1.3,"HERB MARKER ROSEMARY, HERB MARKER THYME"
15844,"frozenset({'22697', '23172'})",frozenset({'23171'}),0.9579831932773109,1.65,REGENCY TEA PLATE GREEN 
8269,"frozenset({'22920', '22917', '22921'})",frozenset({'22919'}),0.9577464788732394,0.65,HERB MARKER MINT
8334,"frozenset({'22920', '22919', '22921'})","frozenset({'22916', '22918'})",0.9571428571428572,1.3,"HERB MARKER THYME, HERB MARKER PARSLEY"
8306,"frozenset({'22920', '22919', '22921'})","frozenset({'22917', '22918'})",0.9571428571428572,1.3,"HERB MARKER ROSEMARY, HERB MARKER PARSLEY"
8330,"frozenset({'22920', '22921', '22916', '22918'})",frozenset({'22919'}),0.9571428571428572,0.65,HERB MARKER MINT
15624,"frozenset({'23172', '23174'})",frozenset({'23171'}),0.956896551724138,1.65,REGENCY TEA PLATE GREEN 
8360,"frozenset({'22920', '22917', '22916', '22921'})",frozenset({'22919'}),0.9568345323741008,0.65,HERB MARKER MINT
7923,"frozenset({'22920', '22917', '22918'})",frozenset({'22916'}),0.9559748427672957,0.65,HERB MARKER THYME
15445,"frozenset({'23175', '23171'})",frozenset({'23174'}),0.9557522123893805,4.15,REGENCY SUGAR BOWL GREEN
7884,"frozenset({'22920', '22919', '22918'})",frozenset({'22917'}),0.9551282051282052,0.65,HERB MARKER ROSEMARY
8076,"frozenset({'22919', '22921'})",frozenset({'22917'}),0.9545454545454547,0.65,HERB MARKER ROSEMARY
8075,"frozenset({'22917', '22921'})",frozenset({'22919'}),0.9545454545454547,0.65,HERB MARKER MINT
7999,"frozenset({'22920', '22917', '22919', '22916'})",frozenset({'22918'}),0.9536423841059601,0.65,HERB MARKER PARSLEY
15328,"frozenset({'22698', '23171', '23170'})",frozenset({'22699'}),0.9532710280373832,2.95,ROSES REGENCY TEACUP AND SAUCER 
15789,"frozenset({'23172', '22698', '23170'})",frozenset({'22699'}),0.9532710280373832,2.95,ROSES REGENCY TEACUP AND SAUCER 
15868,"frozenset({'22697', '23172', '22698'})",frozenset({'23171'}),0.9532710280373832,1.65,REGENCY TEA PLATE GREEN 
15954,"frozenset({'22697', '22699', '23172'})",frozenset({'23170'}),0.9528301886792452,1.65,REGENCY TEA PLATE ROSES 
8136,"frozenset({'22917', '22919', '22921'})","frozenset({'22916', '22918'})",0.9523809523809524,1.3,"HERB MARKER THYME, HERB MARKER PARSLEY"
8186,"frozenset({'22920', '22921'})","frozenset({'22916', '22918'})",0.9523809523809524,1.3,"HERB MARKER THYME, HERB MARKER PARSLEY"
8177,"frozenset({'22920', '22921'})",frozenset({'22919'}),0.9523809523809524,0.65,HERB MARKER MINT
8283,"frozenset({'22920', '22916', '22921'})",frozenset({'22919'}),0.951048951048951,0.65,HERB MARKER MINT
15357,"frozenset({'22699', '22697', '22698', '23170'})",frozenset({'23171'}),0.9509803921568628,1.65,REGENCY TEA PLATE GREEN 
15354,"frozenset({'22699', '22698', '23171', '23170'})",frozenset({'22697'}),0.9509803921568628,2.95,GREEN REGENCY TEACUP AND SAUCER
7956,"frozenset({'22917', '22919', '22918'})",frozenset({'22916'}),0.9506172839506172,0.65,HERB MARKER THYME
7954,"frozenset({'22919', '22917', '22916'})",frozenset({'22918'}),0.9506172839506172,0.65,HERB MARKER PARSLEY
8364,"frozenset({'22920', '22919', '22921'})","frozenset({'22917', '22916'})",0.95,1.3,"HERB MARKER ROSEMARY, HERB MARKER THYME"
7968,"frozenset({'22920', '22917', '22919'})",frozenset({'22916'}),0.9496855345911951,0.65,HERB MARKER THYME
8406,"frozenset({'22920', '22917', '22916', '22921'})","frozenset({'22919', '22918'})",0.9496402877697842,1.3,"HERB MARKER MINT, HERB MARKER PARSLEY"
8402,"frozenset({'22920', '22917', '22921', '22918'})","frozenset({'22919', '22916'})",0.9496402877697842,1.3,"HERB MARKER MINT, HERB MARKER THYME"
15815,"frozenset({'23172', '22698', '23171', '23170'})",frozenset({'22699'}),0.9494949494949495,2.95,ROSES REGENCY TEACUP AND SAUCER 
15563,"frozenset({'22697', '22698', '23174'})",frozenset({'22699'}),0.9489795918367346,2.95,ROSES REGENCY TEACUP AND SAUCER 
16012,"frozenset({'22699', '23172', '22698', '23171'})",frozenset({'22697'}),0.9489795918367346,2.95,GREEN REGENCY TEACUP AND SAUCER
7984,"frozenset({'22920', '22919', '22918'})",frozenset({'22916'}),0.9487179487179488,0.65,HERB MARKER THYME
7982,"frozenset({'22920', '22919', '22916'})",frozenset({'22918'}),0.9487179487179488,0.65,HERB MARKER PARSLEY
16043,"frozenset({'22699', '22697', '23172', '22698'})",frozenset({'23170'}),0.9484536082474225,1.65,REGENCY TEA PLATE ROSES 
15714,"frozenset({'23175', '23172', '23174'})",frozenset({'23171'}),0.9484536082474225,1.65,REGENCY TEA PLATE GREEN 
8082,"frozenset({'22919', '22921'})",frozenset({'22916'}),0.9480519480519481,0.65,HERB MARKER THYME
8081,"frozenset({'22916', '22921'})",frozenset({'22919'}),0.9480519480519481,0.65,HERB MARKER MINT
7866,"frozenset({'22919', '22918'})",frozenset({'22917'}),0.9473684210526316,0.65,HERB MARKER ROSEMARY
15728,"frozenset({'22699', '23172'})",frozenset({'23170'}),0.9473684210526316,1.65,REGENCY TEA PLATE ROSES 
8000,"frozenset({'22920', '22917', '22916', '22918'})",frozenset({'22919'}),0.9473684210526314,0.65,HERB MARKER MINT
7853,"frozenset({'22920', '22919'})",frozenset({'22917'}),0.9464285714285713,0.65,HERB MARKER ROSEMARY
7942,"frozenset({'22919', '22916'})",frozenset({'22918'}),0.9464285714285713,0.65,HERB MARKER PARSLEY
7897,frozenset({'22916'}),frozenset({'22917'}),0.946236559139785,0.65,HERB MARKER ROSEMARY
8142,"frozenset({'22917', '22916', '22921'})","frozenset({'22919', '22918'})",0.9459459459459459,1.3,"HERB MARKER MINT, HERB MARKER PARSLEY"
8201,"frozenset({'22920', '22921'})","frozenset({'22917', '22918'})",0.945578231292517,1.3,"HERB MARKER ROSEMARY, HERB MARKER PARSLEY"
8216,"frozenset({'22920', '22921'})","frozenset({'22917', '22916'})",0.945578231292517,1.3,"HERB MARKER ROSEMARY, HERB MARKER THYME"
15315,"frozenset({'22699', '22698', '23171'})",frozenset({'22697'}),0.9454545454545454,2.95,GREEN REGENCY TEACUP AND SAUCER
15280,"frozenset({'22697', '22699', '23171'})",frozenset({'23170'}),0.9448818897637795,1.65,REGENCY TEA PLATE ROSES 
8225,"frozenset({'22917', '22921', '22916', '22918'})",frozenset({'22920'}),0.9448275862068966,0.65,HERB MARKER BASIL
10457,"frozenset({'22747', '22745'})",frozenset({'22748'}),0.9444444444444444,2.1,POPPY'S PLAYHOUSE KITCHEN
15956,"frozenset({'22697', '23172', '23170'})",frozenset({'22699'}),0.9439252336448598,2.95,ROSES REGENCY TEACUP AND SAUCER 
8310,"frozenset({'22920', '22917', '22921'})","frozenset({'22919', '22918'})",0.9436619718309859,1.3,"HERB MARKER MINT, HERB MARKER PARSLEY"
15343,"frozenset({'22697', '22698', '23170'})",frozenset({'23171'}),0.9433962264150942,1.65,REGENCY TEA PLATE GREEN 
10463,"frozenset({'22747', '22746'})",frozenset({'22748'}),0.9432624113475178,2.1,POPPY'S PLAYHOUSE KITCHEN
8414,"frozenset({'22920', '22919', '22921'})","frozenset({'22917', '22916', '22918'})",0.9428571428571428,1.95,"HERB MARKER ROSEMARY, HERB MARKER THYME, HERB MARKER PARSLEY"
8387,"frozenset({'22919', '22918', '22917', '22921', '22916'})",frozenset({'22920'}),0.9428571428571428,0.65,HERB MARKER BASIL
8405,"frozenset({'22920', '22921', '22916', '22918'})","frozenset({'22917', '22919'})",0.9428571428571428,1.3,"HERB MARKER ROSEMARY, HERB MARKER MINT"
15984,"frozenset({'22697', '23172', '23171', '23170'})",frozenset({'22699'}),0.9428571428571427,2.95,ROSES REGENCY TEACUP AND SAUCER 
7905,"frozenset({'22917', '22918'})",frozenset({'22916'}),0.942528735632184,0.65,HERB MARKER THYME
7910,"frozenset({'22920', '22917'})",frozenset({'22916'}),0.9418604651162791,0.65,HERB MARKER THYME
8061,"frozenset({'22916', '22921'})","frozenset({'22917', '22918'})",0.9415584415584416,1.3,"HERB MARKER ROSEMARY, HERB MARKER PARSLEY"
8058,"frozenset({'22917', '22921'})","frozenset({'22916', '22918'})",0.9415584415584416,1.3,"HERB MARKER THYME, HERB MARKER PARSLEY"
15268,"frozenset({'22699', '23171'})",frozenset({'23170'}),0.9403973509933775,1.65,REGENCY TEA PLATE ROSES 
8185,"frozenset({'22918', '22916', '22921'})",frozenset({'22920'}),0.9395973154362416,0.65,HERB MARKER BASIL
8139,"frozenset({'22917', '22921', '22918'})","frozenset({'22919', '22916'})",0.9395973154362416,1.3,"HERB MARKER MINT, HERB MARKER THYME"
8141,"frozenset({'22921', '22916', '22918'})","frozenset({'22917', '22919'})",0.9395973154362416,1.3,"HERB MARKER ROSEMARY, HERB MARKER MINT"
8134,"frozenset({'22921', '22919', '22918'})","frozenset({'22917', '22916'})",0.9395973154362416,1.3,"HERB MARKER ROSEMARY, HERB MARKER THYME"
15669,"frozenset({'23172', '23171', '23173'})",frozenset({'23170'}),0.9393939393939394,1.65,REGENCY TEA PLATE ROSES 
15910,"frozenset({'23172', '22698', '23171', '23170'})",frozenset({'22697'}),0.9393939393939394,2.95,GREEN REGENCY TEACUP AND SAUCER
8213,"frozenset({'22917', '22916', '22921'})",frozenset({'22920'}),0.9391891891891891,0.65,HERB MARKER BASIL
15620,"frozenset({'23172', '23170'})",frozenset({'23171'}),0.9390862944162435,1.65,REGENCY TEA PLATE GREEN 
7955,"frozenset({'22917', '22916', '22918'})",frozenset({'22919'}),0.9390243902439023,0.65,HERB MARKER MINT
7922,"frozenset({'22920', '22917', '22916'})",frozenset({'22918'}),0.9382716049382717,0.65,HERB MARKER PARSLEY
15281,"frozenset({'22697', '23171', '23170'})",frozenset({'22699'}),0.9375000000000001,2.95,ROSES REGENCY TEACUP AND SAUCER 
7882,"frozenset({'22920', '22917', '22919'})",frozenset({'22918'}),0.9371069182389937,0.65,HERB MARKER PARSLEY
7883,"frozenset({'22920', '22917', '22918'})",frozenset({'22919'}),0.9371069182389937,0.65,HERB MARKER MINT
8327,"frozenset({'22921', '22916', '22919', '22918'})",frozenset({'22920'}),0.9370629370629372,0.65,HERB MARKER BASIL
8337,"frozenset({'22920', '22921', '22918'})","frozenset({'22919', '22916'})",0.9370629370629372,1.3,"HERB MARKER MINT, HERB MARKER THYME"
8340,"frozenset({'22920', '22916', '22921'})","frozenset({'22919', '22918'})",0.9370629370629372,1.3,"HERB MARKER MINT, HERB MARKER PARSLEY"
8309,"frozenset({'22920', '22921', '22918'})","frozenset({'22917', '22919'})",0.9370629370629372,1.3,"HERB MARKER ROSEMARY, HERB MARKER MINT"
15636,"frozenset({'23172', '23174', '23171'})",frozenset({'23170'}),0.9369369369369369,1.65,REGENCY TEA PLATE ROSES 
7983,"frozenset({'22920', '22916', '22918'})",frozenset({'22919'}),0.9367088607594938,0.65,HERB MARKER MINT
8357,"frozenset({'22917', '22916', '22919', '22921'})",frozenset({'22920'}),0.9366197183098591,0.65,HERB MARKER BASIL
8367,"frozenset({'22920', '22917', '22921'})","frozenset({'22919', '22916'})",0.9366197183098591,1.3,"HERB MARKER MINT, HERB MARKER THYME"
7936,"frozenset({'22917', '22919'})",frozenset({'22916'}),0.9364161849710984,0.65,HERB MARKER THYME
7864,"frozenset({'22917', '22919'})",frozenset({'22918'}),0.9364161849710984,0.65,HERB MARKER PARSLEY
15786,"frozenset({'22699', '23172', '22698'})",frozenset({'23170'}),0.9357798165137615,1.65,REGENCY TEA PLATE ROSES 
8062,"frozenset({'22918', '22921'})","frozenset({'22917', '22916'})",0.935483870967742,1.3,"HERB MARKER ROSEMARY, HERB MARKER THYME"
7871,"frozenset({'22920', '22918'})",frozenset({'22917'}),0.9352941176470588,0.65,HERB MARKER ROSEMARY
8093,"frozenset({'22919', '22921'})","frozenset({'22917', '22918'})",0.9350649350649352,1.3,"HERB MARKER ROSEMARY, HERB MARKER PARSLEY"
8090,"frozenset({'22917', '22921'})","frozenset({'22919', '22918'})",0.9350649350649352,1.3,"HERB MARKER MINT, HERB MARKER PARSLEY"
7997,"frozenset({'22917', '22916', '22919', '22918'})",frozenset({'22920'}),0.9350649350649352,0.65,HERB MARKER BASIL
7916,"frozenset({'22920', '22916'})",frozenset({'22918'}),0.9349112426035503,0.65,HERB MARKER PARSLEY
16072,"frozenset({'22423', '23172'})",frozenset({'23171'}),0.9345794392523364,1.65,REGENCY TEA PLATE GREEN 
15342,"frozenset({'22698', '23171', '23170'})",frozenset({'22697'}),0.9345794392523364,2.95,GREEN REGENCY TEACUP AND SAUCER
15994,"frozenset({'22699', '22697', '23172'})","frozenset({'23171', '23170'})",0.9339622641509433,3.3,"REGENCY TEA PLATE GREEN , REGENCY TEA PLATE ROSES "
8026,frozenset({'22921'}),frozenset({'22918'}),0.933734939759036,0.65,HERB MARKER PARSLEY
8199,"frozenset({'22918', '22917', '22921'})",frozenset({'22920'}),0.9328859060402684,0.65,HERB MARKER BASIL
15355,"frozenset({'22699', '22697', '22698', '23171'})",frozenset({'23170'}),0.9326923076923077,1.65,REGENCY TEA PLATE ROSES 
10475,"frozenset({'22747', '22748', '22746'})",frozenset({'22745'}),0.9323308270676691,2.1,POPPY'S PLAYHOUSE BEDROOM 
7971,"frozenset({'22917', '22919', '22916'})",frozenset({'22920'}),0.9320987654320988,0.65,HERB MARKER BASIL
7969,"frozenset({'22920', '22917', '22916'})",frozenset({'22919'}),0.9320987654320988,0.65,HERB MARKER MINT
8246,"frozenset({'22920', '22921'})","frozenset({'22917', '22916', '22918'})",0.9319727891156462,1.95,"HERB MARKER ROSEMARY, HERB MARKER THYME, HERB MARKER PARSLEY"
8258,"frozenset({'22920', '22921'})","frozenset({'22919', '22918'})",0.9319727891156462,1.3,"HERB MARKER MINT, HERB MARKER PARSLEY"
7904,"frozenset({'22917', '22916'})",frozenset({'22918'}),0.9318181818181819,0.65,HERB MARKER PARSLEY
15103,"frozenset({'22697', '22698', '23173'})",frozenset({'22699'}),0.9316239316239316,2.95,ROSES REGENCY TEACUP AND SAUCER 
8285,"frozenset({'22919', '22916', '22921'})",frozenset({'22920'}),0.9315068493150684,0.65,HERB MARKER BASIL
7865,"frozenset({'22917', '22918'})",frozenset({'22919'}),0.9310344827586208,0.65,HERB MARKER MINT
7985,"frozenset({'22919', '22916', '22918'})",frozenset({'22920'}),0.9308176100628931,0.65,HERB MARKER BASIL
8296,"frozenset({'22917', '22921', '22919', '22918'})",frozenset({'22920'}),0.9305555555555556,0.65,HERB MARKER BASIL
7859,frozenset({'22918'}),frozenset({'22917'}),0.93048128342246,0.65,HERB MARKER ROSEMARY
15419,"frozenset({'23175', '23173', '23170'})",frozenset({'23174'}),0.9304347826086956,4.15,REGENCY SUGAR BOWL GREEN
15283,"frozenset({'22697', '22699', '23170'})",frozenset({'23171'}),0.930232558139535,1.65,REGENCY TEA PLATE GREEN 
8370,"frozenset({'22920', '22916', '22921'})","frozenset({'22917', '22919'})",0.9300699300699301,1.3,"HERB MARKER ROSEMARY, HERB MARKER MINT"
15912,"frozenset({'22697', '22698', '23171', '23170'})",frozenset({'23172'}),0.93,1.65,REGENCY TEA PLATE PINK
7944,"frozenset({'22919', '22918'})",frozenset({'22916'}),0.9298245614035088,0.65,HERB MARKER THYME
7943,"frozenset({'22916', '22918'})",frozenset({'22919'}),0.9298245614035088,0.65,HERB MARKER MINT
8399,"frozenset({'22917', '22916', '22919', '22921'})","frozenset({'22920', '22918'})",0.9295774647887324,1.3,"HERB MARKER BASIL, HERB MARKER PARSLEY"
8423,"frozenset({'22920', '22917', '22921'})","frozenset({'22916', '22919', '22918'})",0.9295774647887324,1.95,"HERB MARKER THYME, HERB MARKER MINT, HERB MARKER PARSLEY"
7917,"frozenset({'22920', '22918'})",frozenset({'22916'}),0.9294117647058824,0.65,HERB MARKER THYME
15684,"frozenset({'23172', '23171', '23173'})",frozenset({'23174'}),0.9292929292929293,4.15,REGENCY SUGAR BOWL GREEN
8094,"frozenset({'22918', '22921'})","frozenset({'22917', '22919'})",0.9290322580645162,1.3,"HERB MARKER ROSEMARY, HERB MARKER MINT"
8105,"frozenset({'22919', '22921'})","frozenset({'22916', '22918'})",0.9285714285714286,1.3,"HERB MARKER THYME, HERB MARKER PARSLEY"
8104,"frozenset({'22916', '22921'})","frozenset({'22919', '22918'})",0.9285714285714286,1.3,"HERB MARKER MINT, HERB MARKER PARSLEY"
8160,"frozenset({'22916', '22921'})",frozenset({'22920'}),0.9285714285714286,0.65,HERB MARKER BASIL
